INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,CCUGPROF,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,PCTFLOAN,GRAD_DEBT_MDN,FEMALE,MEDIAN_HH_INC,UGDS_MEN,UGDS_WOMEN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MD_EARN_WNE_P10,MD_EARN_WNE_P6,TRANS_4,CONTROL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD
Mercyhurst University,Erie,PA,16546,42.103991,-80.055568,12,0.8039,NULL,0,0,0,0,0.0119,0,0.0119,0,0.0493,0,0,0.0017,0,0,0.0204,0.0238,0,0.0799,0.0102,0.1241,0.0408,0,0.0051,0,0.0068,0,0.0374,0.119,0.0187,0.034,0,0,0,0,0.0595,0.0952,0.2262,0.0238,2490,0.0311,0.0708,0.8441,0.0381,0.0053,0.0026,0.0079,45372,NULL,0.7055,26698.5,0.574408117,58804.74,0.4345,0.5655,90.87999725,5.78000021,1.120000005,2.069999933,14.73999977,8.550000191,95.72000122,39700,31300,0,2,0.7305,0.057,0.0249,0.0153,0.0088,0,0.0076,0.1112,0.0446,0.7702,0.0624,0.0097,0.0033,0.0245
Messiah College,Mechanicsburg,PA,17055,40.15867,-76.988492,14,0.7898,1129,0,0.0047,0,0,0.0522,0,0.0269,0,0.1472,0.0649,0,0.0079,0.0316,0,0.0158,0.0016,0,0.0538,0.0079,0,0.0443,0.038,0.0016,0.0396,0.0047,0,0.057,0.0158,0.0237,0.0301,0,0,0,0,0.0585,0.1377,0.1266,0.0079,2723,0.0179,0.0064,0.9292,0.0139,0.0161,0.0018,0.0147,43798,NULL,0.6386,25989,0.616504854,71914.01,0.3937,0.6063,90.19000244,5.210000038,1.940000057,3.160000086,16.75,9.75,94.15000153,43200,34100,0.1822,2,0.8274,0.0264,0.0408,0.0209,0.0007,0,0.0342,0.04,0.0095,0,0,0,0,0
The Workforce Institute's City College,Philadelphia,PA,19122,39.950733,-75.164366,3,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,52,0,0.0392,0.0314,0.8745,0,0,0.0549,21088,NULL,0.7045,12500,0.539473684,36313.09,0.5,0.5,27.39999962,60.86999893,3.809999943,9.25,7.860000134,5.670000076,89.16999817,17600,15600,NULL,2,0.0192,0.8462,0.0962,0.0385,0,0,0,0,0,0,0,0,0,0
Millersville University of Pennsylvania,Millersville,PA,17551-0302,39.99813,-76.355091,13,0.7305,1001,0,0,0,0.0163,0.0919,0,0.0245,0,0.1076,0,0.0688,0.017,0,0,0.0402,0,0,0.0708,0.0374,0,0.0095,0,0.0061,0,0.0504,0,0.081,0,0.0735,0.0844,0,0,0,0,0.0545,0.0361,0.1042,0.0259,6952,0.0075,0,0.8944,0.0599,0.0145,0.0015,0.0222,23329,NULL,0.6737,25485.5,0.581287901,65479.69,0.4428,0.5572,86.33000183,8.539999962,1.700000048,4.21999979,14.78999996,8.130000114,94.33000183,43100,32500,0,1,0.7642,0.0936,0.0811,0.025,0.0014,0.0009,0.0257,0.0039,0.004,0.7951,0.0715,0.0128,0.0019,0.04
Misericordia University,Dallas,PA,18612-1098,41.344765,-75.971016,9,0.7147,1069,0,0,0,0,0.0186,0,0.0167,0,0.0427,0,0,0,0,0,0.013,0.0427,0,0.0315,0.0056,0,0,0.0297,0.0019,0,0.0037,0,0.0668,0,0.013,0.0557,0,0,0,0,0,0.4397,0.2022,0.0167,2342,0,0,0.9854,0.0043,0.0037,0.0012,0.0055,41691,NULL,0.7026,27000,0.642733564,56588.57,0.3202,0.6798,93.84999847,3.170000076,1.120000005,2.349999905,12.27999973,7.039999962,95.70999908,49600,41300,0.2318,2,0.9184,0.0222,0.0307,0.0132,0.0017,0.0004,0.0132,0,0,0.9521,0.013,0.0082,0.0022,0.0177
Montgomery County Community College,Blue Bell,PA,19422-0796,40.175609,-75.276093,1,NULL,NULL,0,0,0,0,0.0236,0.0047,0.0391,0.0101,0.029,0.0155,0.0027,0,0.0553,0,0,0.3439,0,0.002,0.002,0,0,0.0034,0,0,0.0007,0.0162,0,0.0398,0,0.0263,0,0.002,0,0,0.029,0.2225,0.1322,0,10482,0.0066,0.0456,0.7763,0.0813,0.0676,0.0025,0.0202,11929,NULL,0.278,11000,0.589188171,76454.16,0.4412,0.5588,82.97000122,10.84000015,3.569999933,2.74000001,19.62000084,11.31000042,92.63999939,36300,27700,NULL,1,0.5939,0.1472,0.0591,0.0582,0.0029,0.003,0.0273,0.0189,0.0897,0,0,0,0,0
Moore College of Art and Design,Philadelphia,PA,19103-1179,39.957078,-75.172105,11,0.8683,NULL,0,0,0,0,0,0,0,0,0.0526,0,0,0,0,0,0,0,0,0,0,0,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9158,0,0,0,405,0.0279,0.0349,0.7714,0.075,0.0524,0.0035,0.0349,49951,NULL,0.8155,27000,PrivacySuppressed,70661.87,0,1,77.36000061,16.29000092,3.170000076,3.970000029,17.72999954,10.94999981,91.29000092,32400,24500,0.303,2,0.5877,0.2099,0.0716,0.0296,0.0049,0,0.0568,0.0148,0.0247,0,0,0,0,0
Moravian College,Bethlehem,PA,18018-6650,40.630888,-75.380979,13,0.7457,1006,0,0.0175,0,0.0029,0,0,0.0146,0,0,0,0,0.0117,0,0,0.0556,0,0,0.0965,0.0263,0,0.0468,0,0.0029,0,0.0205,0,0.0789,0,0,0.1608,0,0,0,0,0.0819,0.155,0.2018,0.0263,1765,0.0104,0.0012,0.9321,0.0163,0.0116,0.0035,0.025,49902,NULL,0.7611,27000,0.570712136,76394.18,0.4533,0.5467,91.12000275,3.309999943,2.299999952,4.690000057,17.61000061,10.56999969,92.43000031,48200,38500,0.2507,2,0.7167,0.0431,0.089,0.0142,0.0011,0.0006,0.021,0.0555,0.0589,0.864,0.0334,0.021,0.0006,0.055
Mount Aloysius College,Cresson,PA,16630-1999,40.459948,-78.601358,7,0.7286,934,0,0,0,0,0,0,0.0216,0,0.0259,0,0,0.0043,0,0.0151,0.0065,0.0734,0,0.0454,0,0,0,0,0,0,0,0,0.0173,0.0583,0,0.0086,0,0,0,0,0,0.6263,0.0972,0,1472,0.0008,0.1218,0.8234,0.0339,0.0046,0.0008,0.0146,32704,NULL,0.7453,24000,0.759162304,45385.58,0.2731,0.7269,96.61000061,1.889999986,0.409999996,0.970000029,8.550000191,4.599999905,98.23000336,37400,31900,0.2977,2,0.7806,0.0258,0.0068,0.0027,0.0007,0,0,0.0231,0.1603,0.8273,0.025,0.002,0.0027,0.0061
Muhlenberg College,Allentown,PA,18104,40.597362,-75.508954,14,0.4837,NULL,0,0.0113,0,0.0048,0.0629,0,0.0145,0,0,0,0,0.0145,0,0,0.0403,0,0,0.1274,0.0306,0,0.0065,0,0.0048,0,0.0306,0,0.1242,0,0,0.0887,0,0,0,0,0.1452,0,0.2694,0.0242,2330,0.0039,0.033,0.895,0.0204,0.0267,0.0012,0.0197,57341,NULL,0.4971,26490,0.587533157,89504.61,0.4004,0.5996,86.91999817,5.210000038,4.289999962,5.260000229,21.32999992,14.86999989,88.12000275,55300,43200,0,2,0.7468,0.0313,0.0687,0.03,0.0009,0.0004,0.0202,0.0262,0.0755,0.881,0.0245,0.0232,0.0004,0.0353
Brightwood Career Institute-Philadelphia,Philadelphia,PA,19104,39.954553,-75.184486,4,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0.1576,0,0,0,0,0.7364,0,0,648,0,0.0219,0.0414,0.8005,0.0316,0.0073,0.0973,NULL,25784,0.6545,9500,0.732424677,42640.86,0.3225,0.6775,45.27000046,44.65999985,2.839999914,8.430000305,8.850000381,5.650000095,90.88999939,25400,16400,NULL,3,0.0417,0.4429,0.1713,0.0201,0,0,0.3164,0.0031,0.0046,0,0,0,0,0
Neumann University,Aston,PA,19014-1298,39.874944,-75.437928,11,0.9081,905,0,0,0,0,0.0529,0,0.0071,0,0.0758,0,0,0,0,0,0.0071,0.1975,0,0.0441,0,0,0,0.0705,0,0,0,0,0.1199,0.0829,0,0.0176,0,0,0,0,0.0035,0.194,0.127,0,2358,0.1377,0.0265,0.6757,0.1289,0.0109,0.0007,0.0197,39364,NULL,0.7518,27000,0.644874899,69149.16,0.3571,0.6429,76.94999695,16.97999954,2.869999886,3.599999905,16.10000038,9,92.41999817,41500,33600,0.2139,2,0.5441,0.2188,0.0204,0.0123,0.0013,0.0013,0.0221,0.0136,0.1662,0,0,0,0,0
New Castle School of Trades,New Castle,PA,16101,41.036934,-80.402773,4,1,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2054,0.19,0.3608,0.2438,0,0,0,0,759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15753,0.4557,9500,0.058315335,47586.11,0.9513,0.0487,88.23999786,9.56000042,0.349999994,1.600000024,9.930000305,4.690000057,97.48999786,34100,31000,NULL,3,0.8682,0.1054,0.0224,0,0.0013,0,0,0,0.0026,0.7818,0.1509,0.0025,0.0087,0.0549
Northampton County Area Community College,Bethlehem,PA,18020-7599,40.67253,-75.32351,2,NULL,NULL,0,0.0024,0,0,0.0261,0.0158,0.0534,0.0534,0.0437,0.0085,0.0152,0,0.0243,0.0188,0,0.1456,0.0042,0.0188,0.0024,0,0,0.0103,0,0,0.0061,0,0,0.0667,0.0237,0,0.0024,0.037,0.0073,0,0.0419,0.2263,0.1456,0,9730,0.0179,0.0294,0.8326,0.0388,0.0196,0.001,0.0607,11912,NULL,0.2514,13000,0.597965739,62122.75,0.4078,0.5922,88.48999786,4.920000076,1.399999976,7.489999771,13.22000027,7.28000021,92.30000305,31500,24800,NULL,1,0.5875,0.1277,0.2047,0.0243,0.0027,0.0022,0.0253,0.0113,0.0144,0.7121,0.0881,0.0234,0.0048,0.1207
Pittsburgh's Ohio Valley Hospital School of Nursing,McKees Rocks,PA,15136,40.471404,-80.090843,-2,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,0,0,1,0,0,0,0,25804,NULL,0.2679,PrivacySuppressed,PrivacySuppressed,59096.47,0.1176,0.8824,93.36000061,4.579999924,0.899999976,0.699999988,15.46000004,7.650000095,96.81999969,PrivacySuppressed,PrivacySuppressed,NULL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orleans Technical College,Philadelphia,PA,19114-1014,40.090545,-75.011344,3,0.5487,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0,0.6973,0.2109,0,0,0,0,0,0,329,0,0,0.2836,0.5821,0.0199,0.005,0.1095,NULL,22836,0.4803,7521,0.089641434,44040.15,0.7143,0.2857,42.70999908,45.84999847,3.980000019,8.869999886,9.159999847,5.690000057,88.36000061,27900,22300,NULL,2,0.2705,0.4012,0.1337,0.0213,0.003,0.003,0.0122,0,0.155,0,0,0,0,0
